Opcode,Users
br,
icmp,select:
shl,add:add:add:add:
br,
ret,
add,icmp:phi:
icmp,br:
br,
icmp,select:
select,br:
br,
add,getelementptr:
getelementptr,store:
store,
br,
trunc,add:
add,icmp:
icmp,br:
br,
add,getelementptr:
getelementptr,store:
store,
br,
trunc,add:
add,icmp:
icmp,br:
br,
add,getelementptr:
getelementptr,store:
store,
br,
trunc,add:
add,icmp:
icmp,br:
add,getelementptr:
getelementptr,store:store:
br,
store,
br,
store,
br,
add,icmp:phi:
icmp,br:
br,
br,
shl,add:add:add:
add,add:add:
br,
ret,
add,icmp:phi:
icmp,br:
br,
add,add:add:phi:
add,getelementptr:
getelementptr,load:
load,lshr:
lshr,add:
add,getelementptr:
getelementptr,store:load:
load,lshr:
lshr,add:
add,add:
add,getelementptr:
getelementptr,load:
load,lshr:
lshr,add:
add,add:
add,getelementptr:
getelementptr,load:
load,lshr:
lshr,add:
add,store:
store,
icmp,br:
br,
br,
shl,add:
trunc,call:
br,
call,
ret,
add,icmp:phi:
icmp,br:
br,
add,getelementptr:
getelementptr,load:
load,call:
trunc,call:
call,
add,icmp:phi:
icmp,br:
br,
alloca,getelementptr:getelementptr:getelementptr:getelementptr:getelementptr:getelementptr:getelementptr:getelementptr:getelementptr:bitcast:
bitcast,call:call:
call,
br,
icmp,select:
shl,add:add:add:add:
br,
add,phi:icmp:
icmp,br:
br,
icmp,select:
select,br:
br,
add,getelementptr:
getelementptr,store:
store,
br,
trunc,add:add:add:
add,icmp:
icmp,br:
br,
add,getelementptr:
getelementptr,store:
store,
br,
add,icmp:
icmp,br:
br,
add,getelementptr:
getelementptr,store:
store,
br,
add,icmp:
icmp,br:
add,getelementptr:
getelementptr,store:store:
br,
store,
br,
store,
br,
add,phi:icmp:
icmp,br:
br,
br,
call,
ret,
shl,add:
trunc,call:
br,
add,phi:icmp:
icmp,br:
br,
add,getelementptr:
getelementptr,load:
load,call:
trunc,call:
call,
add,phi:icmp:
icmp,br:
br,
call,
br,
shl,add:add:add:
add,add:add:
br,
add,phi:icmp:
icmp,br:
br,
add,phi:add:add:
add,getelementptr:
getelementptr,load:
load,lshr:
lshr,add:
add,getelementptr:
getelementptr,load:store:
load,lshr:
lshr,add:
add,add:
add,getelementptr:
getelementptr,load:
load,lshr:
lshr,add:
add,add:
add,getelementptr:
getelementptr,load:
load,lshr:
lshr,add:
add,store:
store,
icmp,br:
br,
add,icmp:phi:
icmp,br:
br,
